agent_id,name,link,agency,genres,authors
1,Laurie  Abkemeier,/literary_agents/laurie_abkemeier,DeFiore and Company,BIPOC Voices|Journalism/Investigative Reporting|Narrative Nonfiction|Nonfiction|Pop Culture,Jennifer Keishin Armstrong|John Grogan|Nathalia Holt|Cal Newport|Jessica Lahey|Yumi Sakugawa
2,Miriam  Altshuler ,/literary_agents/miriam_altshuler,DeFiore and Company,Autobiography/Memoir|Commercial Fiction|Fiction|Journalism/Investigative Reporting|Literary Fiction|Narrative Nonfiction,Harriet Brown|Andrew Carroll|Robb Forman Dew|Barbara Esstman|Joanna Pearson
3,Betsy Amster,/literary_agents/betsy_amster,Betsy Amster Literary Enterprises,Fiction|Graphic/Illustrated|Literary Fiction|Narrative Nonfiction,Dr. Elaine Aron|Sandi Ault|Kim Boyce|Robin Chotzinoff|Margaret Leslie Davis|María Amparo Escandón|Tom Fields-Meyer|Tanya Ward Goodman|Joy Nicholson|Christopher Noxon|Dr. Barry Prizant|Louise Steinman|Terry Theise|Diana Wells
4,Claire Anderson-Wheeler,/literary_agents/claire_andersonwheeler,Regal Hoffmann &amp; Associates,Autobiography/Memoir|Fiction|Literary Fiction|Narrative Nonfiction|Young Adult,Dan Cluchey|Patrick Dacey|Eldonna Edwards|Faith Gardner|Samantha Mabry|Joanne O'Sullivan|Jamie Raintree|Liesl Shurtliff|Melissa Scholes Young
5,Nicole Aragi,/literary_agents/nicole_aragi,Aragi Inc.,Feminist|Graphic/Illustrated|Historical|Literary Fiction|Narrative Nonfiction,Jonathan Safran Foer|Colson Whitehead
6,Amelia Atlas,/literary_agents/amelia_atlas,ICM Partners,Fiction|Literary Fiction|Narrative Nonfiction|Nonfiction|Political,Caite Dolan-Leach|Mark O’Connell|Matt Gallagher|Joy Williams
7,Claudia Ballard,/literary_agents/claudia_ballard,William Morris Endeavor,Autobiography/Memoir|Fiction|Humor|Narrative Nonfiction|Pop Culture,Amelia Gray|Marjorie Celona|Ben Nugent|Kenneth Calhoun|Marie-Helene Bertino|Emma Straub|Megan Amram|Charlie Kaufman|Eddie Joyce
8,Noah Ballard,/literary_agents/noah_ballard,Curtis Brown, Ltd.,Fiction|Literary Fiction|Narrative Nonfiction|Young Adult,Josh Gondelman|JoAnna Novak|Tochi Onyebuchi|Justin Taylor|Nick White
9,Lisa Bankoff,/literary_agents/lisa_bankoff,Bankoff Collaborative, LLC.,Autobiography/Memoir|Commercial Fiction|Literary Fiction|Narrative Nonfiction,Nancy Horan|Julie Schumacher|Douglas Brinkley|Frank Bruni|John Colapinto|Nicole Kelby|Chris Hedges|Joshua Henkin|Christa Parravani
10,Julie Barer,/literary_agents/julie_barer,The Book Group,Commercial Fiction|Literary Fiction,Rumaan Alam|Mia Alvar|Joshua Ferris|Lily King|Celeste Ng|Gina Ochsner|Kevin Wilson|Charles Yu
11,Ethan Bassoff,/literary_agents/ethan_bassoff,Massie &amp; McQuilkin,Autobiography/Memoir|Cross-genre|Experimental|Graphic/Illustrated|Historical|Humor|Journalism/Investigative Reporting|Literary Fiction|Narrative Nonfiction|Nature/Environmental|Nonfiction|Political|Pop Culture,Kris D'Agostino|Amber Dermont|Michael Chorost
12,Faye Bender,/literary_agents/faye_bender,The Book Group,Literary Fiction|Commercial Fiction,Alexandra Bullen Coutts|Ariel Gore|Helen Phillips|Joe Shine|Rebecca Stead|Francisco Stork|Karen Romano Young
